day,station,extreme,hr0,hr1,hr2,hr3,hr4,hr5,hr6,hr7,hr8,hr9,hr10,hr11,hr12,hr13,hr14,hr15,hr16,hr17,hr18,hr19,hr20,hr21,hr22,hr23
2011-01-07,A,min,1.2,1.198,1.2,nan,1.2,2.02,1.199,1.198,1.2,1.199,2.019,1.198,1.199,1.2,1.198,1.2,1.2,1.2,1.199,-0.441,0.38,0.38,0.379,0.38
2011-01-07,B,min,4.6,4.62,4.609,nan,4.589,5.409,4.558,4.54,4.51,4.529,5.38,4.59,4.57,4.58,4.588,4.619,4.62,4.629,4.63,2.978,3.799,3.798,3.8,3.828
2011-01-07,B,max,4.6,4.62,4.611,nan,4.591,5.411,4.562,4.54,4.51,4.531,5.38,4.59,4.57,4.58,4.592,4.621,4.62,4.631,4.63,2.982,3.801,3.802,3.8,3.832
2011-01-08,A,max,0.381,0.38,0.381,0.38,0.381,-0.438,-0.439,-0.439,-0.44,-0.439,0.381,1.2,1.2,1.201,1.2,1.201,0.38,-0.438,-1.26,-1.259,-2.078,-2.079,-2.079,-2.9
2011-01-08,A,min,0.379,0.38,0.379,0.38,0.379,-0.442,-0.441,-0.441,-0.44,-0.441,0.379,1.2,1.2,1.199,1.2,1.199,0.38,-0.442,-1.26,-1.261,-2.082,-2.081,-2.081,-2.9
2011-01-08,B,min,3.848,3.849,3.88,3.88,3.888,3.039,3.019,3.0,3.03,3.028,3.839,4.649,4.649,4.647,4.659,4.639,3.83,3.039,2.249,2.249,1.409,1.378,1.409,0.589
2011-01-08,B,max,3.852,3.851,3.88,3.88,3.892,3.041,3.021,3.0,3.03,3.032,3.841,4.651,4.651,4.653,4.661,4.641,3.83,3.041,2.251,2.251,1.411,1.382,1.411,0.591
2011-01-09,A,max,-2.899,-2.897,-2.9,-2.899,-3.718,-3.719,-2.9,-3.719,-2.899,-2.078,-1.26,-0.439,0.38,1.202,2.021,2.02,1.2,0.38,-0.44,-0.438,-1.26,-1.259,-1.258,-2.079
2011-01-09,A,min,-2.901,-2.903,-2.9,-2.901,-3.722,-3.721,-2.9,-3.721,-2.901,-2.082,-1.26,-0.441,0.38,1.198,2.019,2.02,1.2,0.38,-0.44,-0.442,-1.26,-1.261,-1.262,-2.081
2011-01-09,B,min,0.619,0.61,0.62,0.649,-0.16,-0.18,0.64,-0.181,0.62,1.409,2.229,3.06,3.899,4.718,5.568,5.56,4.74,3.92,3.079,3.11,2.3,2.29,2.289,1.45
2011-01-09,B,max,0.621,0.61,0.62,0.651,-0.16,-0.18,0.64,-0.179,0.62,1.411,2.231,3.06,3.901,4.722,5.572,5.56,4.74,3.92,3.081,3.11,2.3,2.29,2.291,1.45
2011-01-10,A,max,-2.08,-2.08,-2.079,-2.078,-2.899,-2.9,-2.079,-2.079,-2.079,-1.259,-1.26,-0.44,1.202,1.201,1.201,1.201,1.201,1.2,1.2,-0.438,-0.439,-1.26,-1.26,-1.259
2011-01-10,A,min,-2.08,-2.08,-2.081,-2.082,-2.901,-2.9,-2.081,-2.081,-2.081,-1.261,-1.26,-0.44,1.198,1.199,1.199,1.199,1.199,1.2,1.2,-0.442,-0.441,-1.26,-1.26,-1.261
2011-01-10,B,min,1.439,1.429,1.4,1.38,0.557,0.56,1.41,1.44,1.43,2.28,2.248,3.089,4.719,4.719,4.699,4.699,4.7,4.68,4.709,3.069,3.049,2.199,2.209,2.21
2011-01-10,B,max,1.441,1.431,1.4,1.38,0.563,0.56,1.41,1.44,1.43,2.28,2.252,3.091,4.721,4.721,4.701,4.701,4.7,4.68,4.711,3.071,3.051,2.201,2.211,2.21
2011-01-11,A,min,-1.261,-1.261,-0.441,nan,nan,-0.44,-0.44,-0.441,0.379,0.379,1.2,1.2,1.2,1.2,1.2,-0.44,-0.441,-0.441,-0.44,-0.44,-0.442,-0.441,-0.441,-0.44
2011-01-11,B,min,2.208,2.199,2.998,nan,nan,2.989,3.02,2.999,3.81,3.788,4.639,4.659,4.689,4.719,4.69,3.039,3.029,3.059,3.039,3.02,3.02,3.0,2.99,3.008
2011-01-11,B,max,2.212,2.201,3.002,nan,nan,2.991,3.02,3.001,3.81,3.792,4.641,4.661,4.691,4.721,4.69,3.041,3.031,3.061,3.041,3.02,3.02,3.0,2.99,3.012
2011-01-12,A,max,-0.44,-0.44,-1.259,nan,nan,-1.259,-2.079,-1.258,-0.439,-0.439,0.38,1.2,1.201,2.021,1.2,1.2,2.021,1.203,1.2,0.381,-0.439,-0.44,-0.439,-1.259
2011-01-12,A,min,-0.44,-0.44,-1.261,nan,nan,-1.261,-2.081,-1.262,-0.441,-0.441,0.38,1.2,1.199,2.019,1.2,1.2,2.019,1.197,1.2,0.379,-0.441,-0.44,-0.441,-1.261
2011-01-12,B,min,2.99,3.009,2.179,nan,nan,2.179,1.357,2.158,3.0,3.02,3.869,4.679,4.688,5.519,4.67,4.669,5.519,4.69,4.699,3.89,3.048,3.069,3.08,2.279
2011-01-12,B,max,2.99,3.011,2.181,nan,nan,2.181,1.363,2.162,3.0,3.02,3.871,4.681,4.692,5.521,4.67,4.671,5.521,4.69,4.701,3.89,3.052,3.071,3.08,2.281
2011-01-13,A,max,-1.259,-1.259,-1.26,-1.26,-1.258,-1.26,-2.08,-2.08,-1.26,-1.259,-0.44,1.201,1.201,2.021,2.02,2.84,2.842,1.201,1.2,-0.439,-0.439,-1.257,-1.259,-2.079
2011-01-13,A,min,-1.261,-1.261,-1.26,-1.26,-1.262,-1.26,-2.08,-2.08,-1.26,-1.261,-0.44,1.199,1.199,2.019,2.02,2.84,2.838,1.199,1.2,-0.441,-0.441,-1.263,-1.261,-2.081
2011-01-13,B,min,2.28,2.279,2.298,2.319,2.289,2.32,1.469,1.469,2.3,2.269,3.059,4.719,4.748,5.589,5.57,6.399,6.369,4.71,4.689,3.019,3.038,2.199,2.199,1.399
2011-01-13,B,max,2.28,2.281,2.302,2.321,2.291,2.32,1.471,1.471,2.3,2.271,3.061,4.721,4.752,5.591,5.57,6.401,6.371,4.71,4.691,3.021,3.042,2.201,2.201,1.401
2011-01-14,A,max,-2.079,-2.9,-2.9,-2.9,nan,-2.899,-2.9,-2.899,-2.079,-1.26,0.381,0.38,1.201,2.02,2.021,2.841,2.02,2.02,1.201,-0.44,0.382,-0.439,-0.438,0.381
2011-01-14,A,min,-2.081,-2.9,-2.9,-2.9,nan,-2.901,-2.9,-2.901,-2.081,-1.26,0.379,0.38,1.199,2.02,2.019,2.839,2.02,2.02,1.199,-0.44,0.378,-0.441,-0.442,0.379
2011-01-14,B,min,1.429,0.62,0.61,0.619,nan,0.63,0.62,0.59,1.38,2.229,3.85,3.849,4.639,5.48,5.459,6.25,5.449,5.459,4.639,2.979,3.789,2.969,2.97,3.779
2011-01-14,B,max,1.431,0.62,0.61,0.621,nan,0.63,0.62,0.59,1.38,2.231,3.85,3.851,4.641,5.48,5.461,6.25,5.451,5.461,4.641,2.981,3.791,2.971,2.97,3.781
2011-01-15,A,max,0.381,-0.439,-0.44,-0.439,-0.439,-0.44,-1.259,-1.258,-1.26,-0.439,0.38,1.2,2.841,4.481,5.302,6.121,6.942,6.12,5.301,6.121,6.12,6.121,5.301,5.301
2011-01-15,A,min,0.379,-0.441,-0.44,-0.441,-0.441,-0.44,-1.261,-1.262,-1.26,-0.441,0.38,1.2,2.839,4.479,5.298,6.119,6.938,6.12,5.299,6.119,6.12,6.119,5.299,5.299
2011-01-15,B,min,3.8,2.949,2.979,2.98,2.999,2.988,2.137,2.17,2.169,2.96,3.81,4.608,6.28,7.919,8.729,9.526,10.369,9.55,8.729,9.559,9.529,9.529,8.69,8.719
2011-01-15,B,max,3.8,2.951,2.981,2.98,3.001,2.992,2.143,2.17,2.171,2.96,3.81,4.612,6.28,7.921,8.731,9.534,10.371,9.55,8.731,9.561,9.531,9.531,8.69,8.721
2011-01-16,A,max,3.66,3.66,3.66,2.021,3.661,3.661,3.66,2.84,2.022,2.021,2.02,2.841,2.841,3.662,4.481,3.66,2.842,2.021,1.201,0.382,0.381,0.38,1.2,1.2
2011-01-16,A,min,3.66,3.66,3.66,2.019,3.659,3.659,3.66,2.84,2.018,2.019,2.02,2.839,2.839,3.658,4.479,3.66,2.838,2.019,1.199,0.378,0.379,0.38,1.2,1.2
2011-01-16,B,min,7.07,7.098,7.13,5.499,7.119,7.15,7.16,6.36,5.51,5.48,5.49,6.338,6.34,7.178,7.969,7.15,6.32,5.5,4.7,3.849,3.819,3.789,4.61,4.609
2011-01-17,A,max,1.2,1.2,0.381,0.381,0.381,0.38,0.381,-0.44,-0.44,-0.438,-0.439,-0.439,0.381,0.38,0.38,1.2,1.201,1.2,0.381,0.381,-0.439,-0.44,-1.259,-0.439
2011-01-17,A,min,1.2,1.2,0.379,0.379,0.379,0.38,0.379,-0.44,-0.44,-0.442,-0.441,-0.441,0.379,0.38,0.38,1.2,1.199,1.2,0.379,0.379,-0.441,-0.44,-1.261,-0.441
2011-01-17,B,min,4.609,4.64,3.799,3.81,3.78,3.789,3.779,2.95,2.949,2.95,2.938,2.938,3.779,3.769,3.759,4.55,4.52,4.55,3.719,3.718,2.89,2.899,2.069,2.91
2011-01-18,A,max,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.2,1.201,2.021,2.021,2.021,2.021,2.02,2.021,2.02,2.021,2.021,2.02
2011-01-18,A,min,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.2,1.199,2.019,2.019,2.019,2.019,2.02,2.019,2.02,2.019,2.019,2.02
2011-01-18,B,min,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.538,4.569,5.389,5.39,5.41,5.399,5.398,5.429,5.397,5.419,5.419,5.408
2011-01-18,B,max,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.542,4.571,5.391,5.39,5.41,5.401,5.402,5.431,5.403,5.421,5.421,5.412
2011-01-19,A,max,2.022,2.021,2.02,nan,2.02,2.021,2.021,2.841,2.84,2.841,3.66,4.48,5.301,9.401,9.4,9.401,8.58,7.76,6.941,6.12,6.121,6.121,5.3,5.301
2011-01-19,A,min,2.018,2.019,2.02,nan,2.02,2.019,2.019,2.839,2.84,2.839,3.66,4.48,5.299,9.399,9.4,9.399,8.58,7.76,6.939,6.12,6.119,6.119,5.3,5.299
2011-01-19,B,min,5.44,5.46,5.49,nan,5.459,5.429,5.4,6.25,6.259,6.259,7.08,7.879,8.669,12.769,12.758,12.769,11.919,11.12,10.269,9.439,9.409,9.389,8.569,8.549
2011-01-19,B,max,5.44,5.46,5.49,nan,5.461,5.431,5.4,6.25,6.261,6.261,7.08,7.881,8.671,12.771,12.762,12.771,11.921,11.12,10.271,9.441,9.411,9.391,8.571,8.551
2011-01-20,A,max,3.661,3.66,3.66,3.661,3.661,2.841,2.021,2.021,2.02,2.841,3.66,4.481,5.3,4.48,5.301,6.121,5.3,5.301,3.66,3.661,3.661,2.84,2.841,2.84
2011-01-20,A,min,3.659,3.66,3.66,3.659,3.659,2.839,2.019,2.019,2.02,2.839,3.66,4.479,5.3,4.48,5.299,6.119,5.3,5.299,3.66,3.659,3.659,2.84,2.839,2.84
2011-01-20,B,max,6.911,6.921,6.93,6.901,6.921,6.131,5.341,5.361,5.33,6.131,6.931,7.73,8.561,7.721,8.532,9.361,8.56,8.562,6.902,6.87,6.863,6.041,6.03,6.042
2011-01-21,A,max,2.84,2.841,2.842,2.022,2.021,2.84,2.022,1.201,1.201,1.2,1.201,2.021,2.02,1.2,1.2,-0.44,-0.439,-1.258,-2.08,-2.079,-2.899,-3.72,-4.538,-4.539
2011-01-21,A,min,2.84,2.839,2.838,2.018,2.019,2.84,2.018,1.199,1.199,1.2,1.199,2.019,2.02,1.2,1.2,-0.44,-0.441,-1.262,-2.08,-2.081,-2.901,-3.72,-4.542,-4.541
2011-01-21,B,min,6.029,6.049,6.078,5.25,5.28,6.099,5.28,4.479,4.478,4.499,4.49,5.28,5.309,4.48,4.458,2.85,2.87,2.048,1.24,1.21,0.398,-0.421,-1.25,-1.22
2011-01-21,B,max,6.031,6.051,6.082,5.25,5.28,6.101,5.28,4.481,4.482,4.501,4.49,5.28,5.311,4.48,4.462,2.85,2.87,2.052,1.24,1.21,0.402,-0.419,-1.25,-1.22
2011-01-22,A,max,-5.36,-5.359,-5.36,-5.358,-6.18,nan,-6.18,-6.179,-6.18,-5.36,-5.359,-4.539,-4.539,-3.72,-2.9,-2.078,-2.08,-2.078,-3.717,-3.719,-4.539,-4.54,-4.539,-5.358
2011-01-22,A,min,-5.36,-5.361,-5.36,-5.362,-6.18,nan,-6.18,-6.181,-6.18,-5.36,-5.361,-4.541,-4.541,-3.72,-2.9,-2.082,-2.08,-2.082,-3.723,-3.721,-4.541,-4.54,-4.541,-5.362
2011-01-22,B,min,-2.041,-2.061,-2.05,-2.082,-2.93,nan,-2.93,-2.95,-2.98,-2.161,-2.17,-1.332,-1.341,-0.521,0.31,1.12,1.108,1.108,-0.531,-0.52,-1.31,-1.331,-1.33,-2.15
2011-01-22,B,max,-2.039,-2.059,-2.05,-2.078,-2.93,nan,-2.93,-2.95,-2.98,-2.159,-2.17,-1.328,-1.339,-0.519,0.31,1.12,1.112,1.112,-0.529,-0.52,-1.31,-1.329,-1.33,-2.15
2011-01-23,A,max,-5.36,-5.36,-6.179,-6.179,nan,-5.359,-5.358,-3.719,-4.539,-2.899,-1.26,-1.259,-0.439,-1.259,-0.44,-0.439,-0.438,-1.26,-2.08,-2.079,-2.899,-2.899,-3.719,-4.54
2011-01-23,A,min,-5.36,-5.36,-6.181,-6.181,nan,-5.361,-5.362,-3.721,-4.541,-2.901,-1.26,-1.261,-0.441,-1.261,-0.44,-0.441,-0.442,-1.26,-2.08,-2.081,-2.901,-2.901,-3.721,-4.54
2011-01-23,B,min,-2.12,-2.092,-2.911,-2.91,nan,-2.06,-2.061,-0.42,-1.241,0.379,1.989,1.988,2.839,1.998,2.83,2.838,2.85,2.03,1.21,1.189,0.35,0.35,-0.502,-1.322
2011-01-23,B,max,-2.12,-2.088,-2.909,-2.91,nan,-2.06,-2.059,-0.42,-1.239,0.381,1.991,1.992,2.841,2.002,2.83,2.842,2.85,2.03,1.21,1.191,0.35,0.35,-0.498,-1.318
2011-01-24,A,max,-4.538,-5.36,nan,-5.358,-6.178,-6.179,-6.18,-6.18,-5.358,-4.538,-2.899,-2.899,-2.08,-1.259,-1.26,-0.439,-0.44,-1.259,-1.26,-1.259,-1.259,-1.26,-1.26,-0.44
2011-01-24,A,min,-4.542,-5.36,nan,-5.362,-6.182,-6.181,-6.18,-6.18,-5.362,-4.542,-2.901,-2.901,-2.08,-1.261,-1.26,-0.441,-0.44,-1.261,-1.26,-1.261,-1.261,-1.26,-1.26,-0.44
2011-01-24,B,min,-1.311,-2.112,nan,-2.08,-2.931,-2.931,-2.94,-2.911,-2.091,-1.25,0.409,0.438,1.259,2.078,2.07,2.89,2.86,2.069,2.07,2.07,2.089,2.059,2.09,2.908
2011-01-24,B,max,-1.309,-2.108,nan,-2.08,-2.929,-2.929,-2.94,-2.909,-2.089,-1.25,0.411,0.442,1.261,2.082,2.07,2.89,2.86,2.071,2.07,2.07,2.091,2.061,2.09,2.912
2011-01-25,A,max,-0.439,-0.439,-0.439,nan,-1.257,-1.259,-0.439,-0.438,-0.439,1.201,2.02,2.841,3.66,3.66,5.3,6.12,6.12,5.301,5.301,3.66,2.842,2.843,2.021,2.021
2011-01-25,A,min,-0.441,-0.441,-0.441,nan,-1.263,-1.261,-0.441,-0.442,-0.441,1.199,2.02,2.839,3.66,3.66,5.3,6.12,6.12,5.299,5.299,3.66,2.838,2.837,2.019,2.019
2011-01-25,B,min,2.928,2.94,2.949,nan,2.15,2.149,2.97,2.95,2.919,4.53,5.38,6.19,6.98,6.989,8.629,9.469,9.459,8.67,8.668,7.039,6.229,6.25,5.419,5.4
2011-01-25,B,max,2.932,2.94,2.951,nan,2.15,2.151,2.97,2.95,2.921,4.53,5.38,6.19,6.98,6.991,8.631,9.471,9.461,8.67,8.672,7.041,6.231,6.25,5.421,5.4
2011-01-26,A,max,2.02,2.841,2.02,nan,nan,1.2,1.201,2.021,2.021,2.021,2.021,2.02,2.02,2.021,2.02,2.02,2.022,1.2,nan,nan,nan,nan,nan,nan
2011-01-26,A,min,2.02,2.839,2.02,nan,nan,1.2,1.199,2.019,2.019,2.019,2.019,2.02,2.02,2.019,2.02,2.02,2.018,1.2,nan,nan,nan,nan,nan,nan
2011-01-26,B,min,5.419,6.239,5.429,nan,nan,4.64,4.639,5.48,5.48,5.45,5.438,5.419,5.409,5.409,5.389,5.36,5.378,4.57,nan,nan,nan,nan,nan,nan
2011-01-26,B,max,5.421,6.241,5.431,nan,nan,4.64,4.641,5.48,5.48,5.45,5.442,5.421,5.411,5.411,5.391,5.36,5.382,4.57,nan,nan,nan,nan,nan,nan
2011-01-27,A,max,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.021,2.021,1.2,1.2,0.38,0.381,0.381,0.38
2011-01-27,A,min,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.019,2.019,1.2,1.2,0.38,0.379,0.379,0.38
2011-01-27,B,min,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.39,5.369,4.529,4.54,3.739,3.75,3.748,3.729
2011-01-27,B,max,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.39,5.371,4.531,4.54,3.741,3.75,3.752,3.731
2011-01-28,A,max,1.2,1.202,1.2,1.202,nan,0.382,0.381,-0.438,-0.44,0.38,0.382,0.38,0.381,0.382,2.022,1.2,2.022,2.84,2.84,2.841,2.841,2.02,2.841,2.84
2011-01-28,A,min,1.2,1.198,1.2,1.198,nan,0.378,0.379,-0.442,-0.44,0.38,0.378,0.38,0.379,0.378,2.018,1.2,2.018,2.84,2.84,2.839,2.839,2.02,2.839,2.84
2011-01-28,B,min,4.528,4.559,4.56,4.539,nan,3.749,3.75,2.929,2.909,3.759,3.759,3.76,3.749,3.75,5.359,4.51,5.329,6.119,6.12,6.13,6.099,5.249,6.08,6.079
2011-01-28,B,max,4.532,4.561,4.56,4.541,nan,3.751,3.75,2.931,2.911,3.761,3.761,3.76,3.751,3.75,5.361,4.51,5.331,6.121,6.12,6.13,6.101,5.251,6.08,6.081
2011-01-29,A,max,2.021,2.021,2.02,1.2,-0.438,nan,-0.44,-0.44,0.38,0.381,0.38,0.38,1.201,2.021,2.021,2.022,2.84,2.841,2.02,2.02,0.381,0.382,-0.437,-0.44
2011-01-29,A,min,2.019,2.019,2.02,1.2,-0.442,nan,-0.44,-0.44,0.38,0.379,0.38,0.38,1.199,2.019,2.019,2.018,2.84,2.839,2.02,2.02,0.379,0.378,-0.443,-0.44
2011-01-29,B,min,5.239,5.24,5.26,4.419,2.78,nan,2.778,2.76,3.579,3.58,3.599,3.619,4.459,5.249,5.239,5.24,6.04,6.01,5.19,5.179,3.54,3.519,2.7,2.689
2011-01-29,B,max,5.241,5.24,5.26,4.421,2.78,nan,2.782,2.76,3.581,3.58,3.601,3.621,4.461,5.251,5.241,5.24,6.04,6.01,5.19,5.181,3.54,3.521,2.7,2.691
2011-01-30,A,max,-0.439,-1.259,-0.439,-1.259,-1.259,-1.259,nan,-1.26,-1.26,-0.438,0.381,2.02,5.301,4.481,4.481,5.301,5.3,5.3,3.66,3.66,3.661,2.841,2.841,2.84
2011-01-30,A,min,-0.441,-1.261,-0.441,-1.261,-1.261,-1.261,nan,-1.26,-1.26,-0.442,0.379,2.02,5.299,4.479,4.479,5.299,5.3,5.3,3.66,3.66,3.659,2.839,2.839,2.84
2011-01-30,B,max,2.69,1.861,2.671,1.822,1.83,1.81,nan,1.792,1.77,2.601,3.411,5.05,8.311,7.471,7.451,8.251,8.25,8.251,6.63,6.621,6.621,5.772,5.78,5.76
2011-01-31,A,max,2.842,2.021,2.02,2.021,1.201,0.38,-0.44,-0.44,-0.438,-0.439,-0.437,-0.438,0.381,-0.44,0.382,-0.44,-0.438,-0.439,-0.438,5.3,-0.439,-0.44,-0.44,-0.44
2011-01-31,A,min,2.838,2.019,2.02,2.019,1.199,0.38,-0.44,-0.44,-0.442,-0.441,-0.443,-0.442,0.379,-0.44,0.378,-0.44,-0.442,-0.441,-0.442,5.3,-0.441,-0.44,-0.44,-0.44
2011-01-31,B,min,5.729,4.879,4.889,4.888,4.059,3.229,2.379,2.369,2.369,2.359,2.359,2.36,3.18,2.359,3.179,2.349,2.339,2.36,2.37,8.079,2.349,2.319,2.289,2.3
2011-01-31,B,max,5.731,4.881,4.891,4.892,4.061,3.231,2.381,2.371,2.371,2.361,2.361,2.36,3.18,2.361,3.181,2.351,2.341,2.36,2.37,8.081,2.351,2.321,2.291,2.3
2011-02-01,A,max,-0.439,-0.438,-0.44,-0.44,nan,-1.258,-1.26,-0.439,-0.439,-0.439,-0.439,0.381,1.2,1.2,2.022,2.841,2.84,2.84,2.842,2.84,2.02,2.021,2.021,1.2
2011-02-01,A,min,-0.441,-0.442,-0.44,-0.44,nan,-1.262,-1.26,-0.441,-0.441,-0.441,-0.441,0.379,1.2,1.2,2.018,2.839,2.84,2.84,2.838,2.84,2.02,2.019,2.019,1.2
2011-02-01,B,min,2.319,2.299,2.27,2.289,nan,1.469,1.489,2.319,2.32,2.289,2.258,3.1,3.907,3.94,4.769,5.6,5.599,5.6,5.6,5.61,4.76,4.789,4.808,3.977
2011-02-01,B,max,2.321,2.301,2.27,2.291,nan,1.471,1.491,2.321,2.32,2.291,2.262,3.1,3.913,3.94,4.771,5.6,5.601,5.6,5.6,5.61,4.76,4.791,4.812,3.983
2011-02-02,A,max,2.02,2.021,2.02,2.02,2.021,2.021,2.021,2.02,2.021,2.841,2.021,2.84,2.84,6.94,8.58,8.582,7.761,7.761,6.941,4.48,2.84,2.021,2.021,1.201
2011-02-02,A,min,2.02,2.019,2.02,2.02,2.019,2.019,2.019,2.02,2.019,2.839,2.019,2.84,2.84,6.94,8.58,8.578,7.759,7.759,6.939,4.48,2.84,2.019,2.019,1.199
2011-02-02,B,min,4.809,4.819,4.81,4.839,4.84,4.85,4.839,4.839,4.859,5.71,4.909,5.73,5.729,9.809,11.48,11.49,10.669,10.649,9.799,7.31,5.7,4.9,4.88,4.05
